artist,style,genre,title,text
raphael-kirchner,Art_Nouveau,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: genre_painting. Artist: raphael-kirchner.
boris-kustodiev,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: boris-kustodiev.
paul-cezanne,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: paul-cezanne.
boris-kustodiev,Realism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: nude_painting. Artist: boris-kustodiev.
albrecht-durer,Northern_Renaissance,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: genre_painting. Artist: albrecht-durer.
john-singer-sargent,Realism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: genre_painting. Artist: john-singer-sargent.
marc-chagall,Naive_Art_Primitivism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: genre_painting. Artist: marc-chagall.
ilya-repin,Realism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: religious_painting. Artist: ilya-repin.
claude-monet,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: claude-monet.
vincent-van-gogh,Realism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: genre_painting. Artist: vincent-van-gogh.
salvador-dali,Symbolism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: religious_painting. Artist: salvador-dali.
edgar-degas,Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: portrait. Artist: edgar-degas.
childe-hassam,Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: cityscape. Artist: childe-hassam.
camille-pissarro,Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: cityscape. Artist: camille-pissarro.
vincent-van-gogh,Post_Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: landscape. Artist: vincent-van-gogh.
claude-monet,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: claude-monet.
john-singer-sargent,Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: cityscape. Artist: john-singer-sargent.
pyotr-konchalovsky,Post_Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: genre_painting. Artist: pyotr-konchalovsky.
boris-kustodiev,Art_Nouveau,cityscape,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: cityscape. Artist: boris-kustodiev.
pierre-auguste-renoir,Impressionism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: nude_painting. Artist: pierre-auguste-renoir.
paul-cezanne,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: paul-cezanne.
edgar-degas,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: edgar-degas.
pablo-picasso,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: pablo-picasso.
camille-pissarro,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: camille-pissarro.
pablo-picasso,Cubism,still_life,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: still_life. Artist: pablo-picasso.
pyotr-konchalovsky,Expressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: still_life. Artist: pyotr-konchalovsky.
salvador-dali,Post_Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: landscape. Artist: salvador-dali.
boris-kustodiev,Art_Nouveau,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: nude_painting. Artist: boris-kustodiev.
rembrandt,Baroque,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Baroque. Genre: genre_painting. Artist: rembrandt.
childe-hassam,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: childe-hassam.
boris-kustodiev,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: boris-kustodiev.
eugene-boudin,Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: cityscape. Artist: eugene-boudin.
ivan-aivazovsky,Romanticism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: religious_painting. Artist: ivan-aivazovsky.
marc-chagall,Naive_Art_Primitivism,illustration,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: illustration. Artist: marc-chagall.
vincent-van-gogh,Post_Impressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: sketch_and_study. Artist: vincent-van-gogh.
camille-pissarro,Realism,landscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: landscape. Artist: camille-pissarro.
pierre-auguste-renoir,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: pierre-auguste-renoir.
ivan-shishkin,Realism,landscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: landscape. Artist: ivan-shishkin.
vincent-van-gogh,Realism,still_life,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: still_life. Artist: vincent-van-gogh.
pyotr-konchalovsky,Post_Impressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: sketch_and_study. Artist: pyotr-konchalovsky.
paul-cezanne,Cubism,landscape,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: landscape. Artist: paul-cezanne.
martiros-saryan,Expressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: genre_painting. Artist: martiros-saryan.
john-singer-sargent,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: john-singer-sargent.
nicholas-roerich,Art_Nouveau,cityscape,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: cityscape. Artist: nicholas-roerich.
paul-cezanne,Cubism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: cityscape. Artist: paul-cezanne.
martiros-saryan,Post_Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: landscape. Artist: martiros-saryan.
edgar-degas,Impressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: sketch_and_study. Artist: edgar-degas.
pablo-picasso,Expressionism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: nude_painting. Artist: pablo-picasso.
vincent-van-gogh,Post_Impressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: still_life. Artist: vincent-van-gogh.
edgar-degas,Impressionism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: nude_painting. Artist: edgar-degas.
childe-hassam,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: childe-hassam.
albrecht-durer,Northern_Renaissance,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: sketch_and_study. Artist: albrecht-durer.
pablo-picasso,Expressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: genre_painting. Artist: pablo-picasso.
marc-chagall,Cubism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: genre_painting. Artist: marc-chagall.
childe-hassam,Impressionism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: nude_painting. Artist: childe-hassam.
edgar-degas,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: edgar-degas.
pablo-picasso,Cubism,portrait,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: portrait. Artist: pablo-picasso.
vincent-van-gogh,Post_Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: portrait. Artist: vincent-van-gogh.
salvador-dali,Cubism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: nude_painting. Artist: salvador-dali.
pablo-picasso,Cubism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: sketch_and_study. Artist: pablo-picasso.
martiros-saryan,Expressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: landscape. Artist: martiros-saryan.
paul-cezanne,Romanticism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: genre_painting. Artist: paul-cezanne.
ivan-aivazovsky,Romanticism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: cityscape. Artist: ivan-aivazovsky.
salvador-dali,Cubism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: genre_painting. Artist: salvador-dali.
martiros-saryan,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: martiros-saryan.
pyotr-konchalovsky,Cubism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: sketch_and_study. Artist: pyotr-konchalovsky.
eugene-boudin,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: eugene-boudin.
nicholas-roerich,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: nicholas-roerich.
nicholas-roerich,Realism,still_life,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: still_life. Artist: nicholas-roerich.
pyotr-konchalovsky,Post_Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: landscape. Artist: pyotr-konchalovsky.
nicholas-roerich,Art_Nouveau,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: genre_painting. Artist: nicholas-roerich.
pablo-picasso,Analytical_Cubism,still_life,Untitled,Artwork titled 'Untitled'. Style: Analytical_Cubism. Genre: still_life. Artist: pablo-picasso.
salvador-dali,Abstract_Expressionism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Abstract_Expressionism. Genre: religious_painting. Artist: salvador-dali.
gustave-dore,Romanticism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: religious_painting. Artist: gustave-dore.
pyotr-konchalovsky,Post_Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: portrait. Artist: pyotr-konchalovsky.
marc-chagall,Expressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: genre_painting. Artist: marc-chagall.
pyotr-konchalovsky,Post_Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: cityscape. Artist: pyotr-konchalovsky.
marc-chagall,Cubism,portrait,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: portrait. Artist: marc-chagall.
pyotr-konchalovsky,Realism,still_life,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: still_life. Artist: pyotr-konchalovsky.
john-singer-sargent,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: john-singer-sargent.
eugene-boudin,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: eugene-boudin.
paul-cezanne,Romanticism,landscape,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: landscape. Artist: paul-cezanne.
nicholas-roerich,Symbolism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: religious_painting. Artist: nicholas-roerich.
marc-chagall,Naive_Art_Primitivism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: sketch_and_study. Artist: marc-chagall.
nicholas-roerich,Art_Nouveau,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: sketch_and_study. Artist: nicholas-roerich.
eugene-boudin,Realism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: genre_painting. Artist: eugene-boudin.
pablo-picasso,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: pablo-picasso.
pyotr-konchalovsky,Post_Impressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: still_life. Artist: pyotr-konchalovsky.
john-singer-sargent,Realism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: nude_painting. Artist: john-singer-sargent.
camille-pissarro,Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: genre_painting. Artist: camille-pissarro.
vincent-van-gogh,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: vincent-van-gogh.
ivan-aivazovsky,Romanticism,portrait,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: portrait. Artist: ivan-aivazovsky.
nicholas-roerich,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: nicholas-roerich.
pablo-picasso,Naive_Art_Primitivism,portrait,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: portrait. Artist: pablo-picasso.
albrecht-durer,Northern_Renaissance,cityscape,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: cityscape. Artist: albrecht-durer.
eugene-boudin,Impressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: sketch_and_study. Artist: eugene-boudin.
rembrandt,Baroque,landscape,Untitled,Artwork titled 'Untitled'. Style: Baroque. Genre: landscape. Artist: rembrandt.
martiros-saryan,Expressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: still_life. Artist: martiros-saryan.
martiros-saryan,Expressionism,illustration,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: illustration. Artist: martiros-saryan.
paul-cezanne,Post_Impressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: sketch_and_study. Artist: paul-cezanne.
pablo-picasso,Synthetic_Cubism,still_life,Untitled,Artwork titled 'Untitled'. Style: Synthetic_Cubism. Genre: still_life. Artist: pablo-picasso.
childe-hassam,Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: portrait. Artist: childe-hassam.
pyotr-konchalovsky,Post_Impressionism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: nude_painting. Artist: pyotr-konchalovsky.
salvador-dali,Expressionism,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: nude_painting. Artist: salvador-dali.
pierre-auguste-renoir,Impressionism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: sketch_and_study. Artist: pierre-auguste-renoir.
john-singer-sargent,Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: portrait. Artist: john-singer-sargent.
martiros-saryan,Naive_Art_Primitivism,illustration,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: illustration. Artist: martiros-saryan.
salvador-dali,Cubism,still_life,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: still_life. Artist: salvador-dali.
boris-kustodiev,Realism,landscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: landscape. Artist: boris-kustodiev.
nicholas-roerich,Realism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: genre_painting. Artist: nicholas-roerich.
pyotr-konchalovsky,Expressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: portrait. Artist: pyotr-konchalovsky.
pyotr-konchalovsky,Cubism,still_life,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: still_life. Artist: pyotr-konchalovsky.
salvador-dali,Post_Impressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: still_life. Artist: salvador-dali.
boris-kustodiev,Naive_Art_Primitivism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Naive_Art_Primitivism. Genre: genre_painting. Artist: boris-kustodiev.
camille-pissarro,Pointillism,landscape,Untitled,Artwork titled 'Untitled'. Style: Pointillism. Genre: landscape. Artist: camille-pissarro.
salvador-dali,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: salvador-dali.
martiros-saryan,Symbolism,landscape,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: landscape. Artist: martiros-saryan.
nicholas-roerich,Art_Nouveau,landscape,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: landscape. Artist: nicholas-roerich.
camille-pissarro,Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: portrait. Artist: camille-pissarro.
vincent-van-gogh,Post_Impressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: cityscape. Artist: vincent-van-gogh.
albrecht-durer,Northern_Renaissance,nude_painting,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: nude_painting. Artist: albrecht-durer.
pyotr-konchalovsky,Cubism,portrait,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: portrait. Artist: pyotr-konchalovsky.
pablo-picasso,Analytical_Cubism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Analytical_Cubism. Genre: genre_painting. Artist: pablo-picasso.
albrecht-durer,Northern_Renaissance,landscape,Untitled,Artwork titled 'Untitled'. Style: Northern_Renaissance. Genre: landscape. Artist: albrecht-durer.
ivan-shishkin,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: ivan-shishkin.
nicholas-roerich,Art_Nouveau,illustration,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: illustration. Artist: nicholas-roerich.
martiros-saryan,Expressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: portrait. Artist: martiros-saryan.
salvador-dali,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: salvador-dali.
marc-chagall,Cubism,landscape,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: landscape. Artist: marc-chagall.
nicholas-roerich,Symbolism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: cityscape. Artist: nicholas-roerich.
ilya-repin,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: ilya-repin.
pyotr-konchalovsky,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: pyotr-konchalovsky.
john-singer-sargent,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: john-singer-sargent.
camille-pissarro,Pointillism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Pointillism. Genre: cityscape. Artist: camille-pissarro.
pierre-auguste-renoir,Impressionism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: religious_painting. Artist: pierre-auguste-renoir.
paul-cezanne,Romanticism,portrait,Untitled,Artwork titled 'Untitled'. Style: Romanticism. Genre: portrait. Artist: paul-cezanne.
salvador-dali,Expressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: portrait. Artist: salvador-dali.
childe-hassam,Impressionism,still_life,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: still_life. Artist: childe-hassam.
martiros-saryan,Symbolism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: genre_painting. Artist: martiros-saryan.
raphael-kirchner,Art_Nouveau,portrait,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: portrait. Artist: raphael-kirchner.
martiros-saryan,Realism,landscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: landscape. Artist: martiros-saryan.
pyotr-konchalovsky,Expressionism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Expressionism. Genre: cityscape. Artist: pyotr-konchalovsky.
boris-kustodiev,Realism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: genre_painting. Artist: boris-kustodiev.
pyotr-konchalovsky,Realism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: genre_painting. Artist: pyotr-konchalovsky.
boris-kustodiev,Realism,illustration,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: illustration. Artist: boris-kustodiev.
nicholas-roerich,Symbolism,portrait,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: portrait. Artist: nicholas-roerich.
boris-kustodiev,Art_Nouveau,portrait,Untitled,Artwork titled 'Untitled'. Style: Art_Nouveau. Genre: portrait. Artist: boris-kustodiev.
pablo-picasso,Symbolism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Symbolism. Genre: genre_painting. Artist: pablo-picasso.
camille-pissarro,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: camille-pissarro.
claude-monet,Impressionism,portrait,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: portrait. Artist: claude-monet.
pablo-picasso,Cubism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Cubism. Genre: genre_painting. Artist: pablo-picasso.
vincent-van-gogh,Post_Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: genre_painting. Artist: vincent-van-gogh.
pyotr-konchalovsky,Realism,cityscape,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: cityscape. Artist: pyotr-konchalovsky.
paul-cezanne,Post_Impressionism,genre_painting,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: genre_painting. Artist: paul-cezanne.
ilya-repin,Realism,sketch_and_study,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: sketch_and_study. Artist: ilya-repin.
salvador-dali,Impressionism,landscape,Untitled,Artwork titled 'Untitled'. Style: Impressionism. Genre: landscape. Artist: salvador-dali.
vincent-van-gogh,Post_Impressionism,religious_painting,Untitled,Artwork titled 'Untitled'. Style: Post_Impressionism. Genre: religious_painting. Artist: vincent-van-gogh.
claude-monet,Realism,portrait,Untitled,Artwork titled 'Untitled'. Style: Realism. Genre: portrait. Artist: claude-monet.
